iter	Passed	Remaining
0	17	17067
1	33	16507
2	50	16873
3	67	16807
4	83	16674
5	100	16584
6	114	16293
7	131	16308
8	148	16365
9	164	16287
10	180	16211
11	196	16211
12	213	16173
13	228	16116
14	245	16128
15	261	16096
16	277	16032
17	292	15979
18	308	15946
19	324	15919
20	341	15905
21	357	15875
22	372	15833
23	388	15794
24	404	15761
25	419	15697
26	434	15664
27	448	15576
28	464	15545
29	479	15499
30	495	15492
31	511	15480
32	526	15436
33	541	15392
34	557	15372
35	573	15350
36	588	15313
37	604	15293
38	618	15240
39	635	15246
40	650	15218
41	666	15197
42	681	15171
43	696	15132
44	711	15103
45	727	15097
46	743	15065
47	758	15041
48	774	15038
49	789	15009
50	804	14973
51	822	14996
52	840	15021
53	856	15006
54	871	14977
55	887	14963
56	902	14925
57	915	14872
58	931	14852
59	947	14851
60	962	14812
61	977	14794
62	994	14797
63	1010	14773
64	1025	14745
65	1041	14732
66	1056	14708
67	1072	14700
68	1088	14686
69	1104	14668
70	1118	14638
71	1132	14597
72	1149	14592
73	1166	14601
74	1184	14606
75	1199	14581
76	1216	14586
77	1232	14566
78	1249	14568
79	1265	14557
80	1282	14549
81	1300	14558
82	1316	14541
83	1333	14544
84	1349	14532
85	1365	14517
86	1381	14499
87	1395	14459
88	1410	14441
89	1427	14430
90	1442	14411
91	1457	14389
92	1471	14349
93	1486	14327
94	1501	14304
95	1517	14291
96	1532	14271
97	1548	14251
98	1562	14223
99	1578	14209
100	1593	14185
101	1608	14162
102	1623	14140
103	1639	14122
104	1655	14107
105	1670	14090
106	1685	14063
107	1700	14042
108	1715	14022
109	1730	13998
110	1744	13972
111	1760	13957
112	1774	13932
113	1790	13918
114	1806	13903
115	1822	13887
116	1837	13866
117	1852	13849
118	1868	13831
119	1882	13806
120	1897	13787
121	1913	13771
122	1929	13760
123	1945	13747
124	1961	13728
125	1977	13714
126	1993	13705
127	2008	13684
128	2023	13661
129	2038	13642
130	2053	13622
131	2069	13607
132	2084	13586
133	2099	13568
134	2115	13553
135	2130	13536
136	2146	13523
137	2162	13507
138	2177	13489
139	2193	13473
140	2208	13456
141	2224	13443
142	2240	13425
143	2255	13404
144	2270	13386
145	2285	13367
146	2300	13348
147	2316	13334
148	2331	13313
149	2347	13300
150	2362	13284
151	2378	13267
152	2394	13255
153	2409	13238
154	2424	13219
155	2438	13194
156	2453	13175
157	2468	13157
158	2484	13139
159	2499	13120
160	2514	13101
161	2529	13083
162	2545	13069
163	2560	13052
164	2576	13036
165	2591	13021
166	2607	13003
167	2622	12985
168	2637	12967
169	2653	12954
170	2668	12936
171	2683	12920
172	2699	12902
173	2714	12887
174	2730	12870
175	2745	12854
176	2761	12840
177	2775	12817
178	2791	12802
179	2805	12780
180	2821	12766
181	2836	12748
182	2852	12735
183	2870	12728
184	2886	12716
185	2901	12699
186	2917	12682
187	2931	12660
188	2945	12640
189	2959	12614
190	2973	12594
191	2989	12582
192	3004	12564
193	3020	12547
194	3036	12534
195	3051	12517
196	3068	12505
197	3083	12491
198	3099	12476
199	3115	12462
200	3131	12446
201	3146	12428
202	3161	12413
203	3177	12396
204	3192	12379
205	3208	12366
206	3224	12352
207	3238	12332
208	3253	12315
209	3269	12301
210	3285	12286
211	3303	12279
212	3319	12263
213	3334	12245
214	3356	12256
215	3399	12340
216	3414	12322
217	3429	12303
218	3445	12288
219	3461	12272
220	3475	12251
221	3491	12235
222	3506	12219
223	3522	12202
224	3537	12184
225	3552	12166
226	3568	12152
227	3584	12136
228	3598	12116
229	3612	12095
230	3628	12079
231	3643	12060
232	3658	12044
233	3674	12029
234	3689	12010
235	3704	11991
236	3718	11972
237	3733	11954
238	3748	11936
239	3764	11919
240	3779	11904
241	3795	11889
242	3811	11874
243	3827	11857
244	3840	11835
245	3855	11818
246	3871	11802
247	3886	11783
248	3900	11764
249	3915	11746
250	3930	11729
251	3945	11710
252	3960	11692
253	3974	11674
254	3990	11657
255	4005	11640
256	4021	11625
257	4036	11607
258	4049	11586
259	4064	11569
260	4080	11553
261	4095	11537
262	4110	11518
263	4125	11501
264	4140	11483
265	4156	11468
266	4170	11450
267	4184	11428
268	4198	11408
269	4213	11391
270	4227	11373
271	4243	11358
272	4260	11344
273	4276	11330
274	4290	11312
275	4304	11292
276	4319	11275
277	4333	11254
278	4348	11237
279	4363	11220
280	4378	11204
281	4393	11186
282	4408	11168
283	4422	11149
284	4438	11134
285	4453	11117
286	4467	11099
287	4482	11081
288	4498	11066
289	4514	11052
290	4528	11034
291	4543	11016
292	4557	10997
293	4572	10980
294	4589	10967
295	4603	10948
296	4618	10932
297	4634	10917
298	4649	10900
299	4663	10881
300	4680	10868
301	4696	10853
302	4712	10840
303	4728	10825
304	4744	10811
305	4760	10796
306	4774	10778
307	4790	10762
308	4806	10748
309	4821	10732
310	4836	10715
311	4851	10697
312	4866	10681
313	4882	10666
314	4898	10651
315	4915	10639
316	4931	10626
317	4947	10611
318	4962	10594
319	4977	10576
320	4995	10566
321	5011	10551
322	5025	10533
323	5040	10516
324	5055	10500
325	5071	10484
326	5086	10468
327	5101	10452
328	5117	10436
329	5131	10418
330	5146	10402
331	5161	10386
332	5177	10369
333	5192	10353
334	5208	10339
335	5223	10322
336	5238	10305
337	5252	10288
338	5268	10272
339	5284	10257
340	5299	10241
341	5314	10225
342	5330	10210
343	5346	10195
344	5362	10180
345	5377	10163
346	5393	10149
347	5407	10130
348	5422	10114
349	5436	10096
350	5451	10079
351	5465	10061
352	5481	10046
353	5496	10030
354	5512	10016
355	5528	10000
356	5543	9984
357	5558	9967
358	5573	9951
359	5589	9936
360	5604	9920
361	5619	9904
362	5634	9887
363	5650	9873
364	5665	9856
365	5679	9839
366	5695	9822
367	5709	9806
368	5725	9790
369	5740	9774
370	5756	9759
371	5772	9744
372	5788	9729
373	5802	9712
374	5818	9696
375	5833	9681
376	5849	9666
377	5865	9651
378	5880	9634
379	5895	9618
380	5910	9602
381	5924	9584
382	5939	9568
383	5954	9551
384	5969	9535
385	5982	9516
386	5997	9500
387	6012	9484
388	6028	9469
389	6043	9451
390	6057	9435
